ip	date	start	end	subject	velocity	accstable	accunstable	numstable	numunstable	age	gender	monitor	whattesting	howwell	strategies	background	bkgdiff	unstable	problems	calibw	calibh	durationMOT	durationExperiment
108.223.21.255	17/January/2019	02:42:37	02:54:09	S10828895	3.01	0.67	0.67	12	12	37	M	15.1inch, 1920x1080	Spatial awareness and concentration	I think I did ok.	I would focus on 1-2 and use peripheral vision to track the others.	The first was an outdoor scene, next came a computer monitor sitting on a desk and other locations in an office.	I noticed the computer moving to different locations.	yes, once	you can drag your cursor over a dot in order to highlight it. It will stay high lighted as it moves around. I accidentally discovered this around trial 24 or so.	1536	762	6	12
174.97.250.24	17/January/2019	02:23:16	02:37:34	S1478670	4.01	0.56	0.72	10	13	28	F	17 inch, 1920x1080	I think this was testing whether people would be more or less distracted based upon certain background images.	I think I did quite well.	I noticed I did better if I just tried to focus on the middle of the image instead of on following any of the circles.	Most of them looked like classroom images like a chalkboard or a desk.	I think the first trial had a black background with nothing really in it. I did not notice the first trials background really.	No	No	1920	938	7	14
71.230.193.237	17/January/2019	03:32:13	03:46:27	S16634149	3.51	0.94	0.89	17	16	34	M	1366 X 786, 17 inches	Our ability to remember moving images on a screen	I think I did very well as I was able to look at the whole thing instead of concentrating on one single ball.	I did not.	One was a scene of nature the other was a laptop that rotated between desks and tables.	I just saw the two main ones, with the 2nd one (36 trials) being a laptop on a desk or a table.	No.	No	1366	768	8	14
68.119.32.86	17/January/2019	02:59:41	03:13:06	S28658752	4.06	0.22	0.11	4	2	34	M	1024x768	I think this experiment is exploring how well people focus on moving objects.	I think I did fairly well with my performance.	I tried to focus directly on the moving dots at first. Later, I allowed my eyes to blur out so I could watch the dots less directly.	The background image of the first round was a beautiful nature scene with trees. The second background was very boring with a laptop inside a building.	I noticed possibly through the laptop study that something changed in the background or so it seemed. More obviously, I noticed that they shifted from nature to a laptop scene.	I didn't notice this personally but I was focused on the dots. In retrospect, it is very possible.	Everything went smoothly for me.	1918	1009	8	14
69.197.108.78	17/January/2019	02:29:33	02:38:32	S33899927	2.72	0.78	0.89	14	16	32	M	24 inches. 1920x1080	Unsure	I think I did well.	No particular strategies.	The first was a lake. The next ones were classrooms.	The classrooms changed a little bit, but I was focused on the dots and can't tell you what specifically changed.	I did not notice that.	None	1920	938	6	9
24.245.38.217	17/January/2019	02:34:18	02:44:09	S36719880	2.91	0.78	0.5	14	9	31	F	1920x1080, 27 inches	How the background affects tracking dot ability	I think I did farely well.	I tried to just look at the monitor and not focus my eyes on one dot.	One was a laptop computer and the other I can't remember very well (I think it looked like an old Windows desktop (blue).	I noticed the background changed once but other than that nothing.	I didn't notice it but now that you mention it I remember that.	No issues.	1920	978	6	10
75.70.28.84	17/January/2019	06:27:39	06:43:47	S38033396	3.9	0.61	0.33	11	6	45	F	1680x1050	People's ability to follow multiple items visually at varying speeds.	I feel like I did better than I expected.	I tried to force myself to concentrate on the four designated spots, but not focus on any one in particular. I tried to focus on the whole field in order to better follow all the spots but only pay attention to the ones that flashed at the beginning.	The first background image was a mountain scene. The second background image a desk with a computer on it.	The background seemed irrelevant so I did not focus on it very much.	No.	I initially tried to access this in IE and it did not work, so I had to reopen it in Chrome.	1680	918	7	16
174.24.52.57	17/January/2019	03:25:39	03:48:42	S38872857	2.95	0.28	0.11	5	2	32	F	1250-650	there is mind game .	this game fall to me full concentrate.	this is very complicated task.	background images is default the system	yes there is difference the second task played in a laptop screen visual.	yes	there is no unwanted troubles.	1364	657	11	23
104.53.207.65	17/January/2019	03:01:16	03:13:45	S48216629	1.55	0.89	1.11	16	20	41	M	15in, 1330 x 650	spatial awareness and if distractions affect your abilities	I believe I missed 4 smiley faces total.	I just focus on 2 circles, and kept the other 2 in my peripheral vision.	classroom, office, break room, table with a window.	I noticed that at first it changed less frequently and then it changed more often as the trials went by.	No, I did not notice that.	No	1366	768	7	12
70.186.214.158	17/January/2019	04:04:39	04:17:04	S52257075	2.43	0.56	0.39	10	7	52	F	1920x1080	I think it was testing your vision in and perception	I think I did pretty good.  I felt I was doing good if I got three or more each time.	I tried to look in the middle of the screen and let each eye follow two balls	One was a mountain scene and it had water with it.  The second scene was a computer sitting in a room with shredded paper box on the floor.	Yes in the second one with the computers - I noticed different colors or background scene changes.	No I didn't.  I kept focusing on the computer.	No problems.  Thank you.	1920	938	8	13
