98.227.25.58 16/January/2019 02:44:09 Mozilla/5.0_(Macintosh;_Intel_Mac_OS_X_10_11_6)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/71.0.3578.98_Safari/537.36 S38289130 startedcalibration instrw:1280 instrh:721
98.227.25.58 16/January/2019 02:47:20 Mozilla/5.0_(Macintosh;_Intel_Mac_OS_X_10_11_6)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/71.0.3578.98_Safari/537.36 S38289130 calibrationvelocity:4.97 log:;(3486,1.86);(3489,2.21);(3439,2.57);(3466,2.93);(3484,3.29);(3494,3.65);(3465,4.01);(3533,4.38);(3544,4.74);(3514,5.1);(3556,4.98);(3584,4.88);(3527,5.17);(3533,5.46);(3585,5.36);(3598,5.28);(3590,5.21) calibw:1280 calibh:721
98.227.25.58 16/January/2019 02:54:43 Mozilla/5.0_(Macintosh;_Intel_Mac_OS_X_10_11_6)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/71.0.3578.98_Safari/537.36 S38289130 accstable:0.44 accunstable:0.44 objstable:0.83 objunstable:0.82 numcorrectstable:8 numcorrectunstable:8 resplog:(1,unstable,5,2,5372,11030,1959,1213)(2,unstable,4,4,2370,1428,975,1208)(3,stable,2,4,1990,756,1302,1444)(4,unstable,6,4,2018,1170,877,840)(5,stable,3,3,1749,716,959,1091)(6,stable,1,2,1783,666,1286,1072)(7,stable,1,4,2482,752,632,918)(8,unstable,6,3,1991,937,952,1335)(9,unstable,5,3,1781,627,1024,1248)(10,stable,3,4,2069,1514,879,843)(11,stable,2,4,1685,968,877,880)(12,unstable,4,4,2769,1093,826,1000)(13,unstable,6,4,1512,1490,1118,998)(14,stable,1,3,1440,976,1166,1014)(15,stable,2,3,1429,905,1161,1259)(16,unstable,5,3,2364,962,935,1163)(17,unstable,4,4,1748,899,1167,1015)(18,stable,3,4,1180,680,816,902)(19,unstable,4,4,3832,1062,1092,902)(20,unstable,5,3,1689,936,960,1042)(21,stable,3,2,1190,914,1640,1101)(22,stable,2,4,1360,936,808,1113)(23,stable,1,4,1990,922,711,872)(24,unstable,6,3,2034,927,1998,1916)(25,stable,3,3,1914,1080,1098,823)(26,stable,2,3,1332,2628,752,1105)(27,unstable,5,2,1275,961,1060,807)(28,unstable,6,2,1589,790,1549,975)(29,stable,1,3,1242,1496,852,2292)(30,unstable,4,3,2266,944,1007,880)(31,unstable,6,4,960,767,1632,858)(32,stable,3,3,1577,880,2272,1392)(33,unstable,4,4,1863,919,1780,1088)(34,stable,1,3,1851,1125,1335,878)(35,stable,2,4,1874,976,966,1133)(36,unstable,5,3,1781,1090,1136,1127) testw:1280 testh:721
98.227.25.58 16/January/2019 02:56:13 Mozilla/5.0_(Macintosh;_Intel_Mac_OS_X_10_11_6)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/71.0.3578.98_Safari/537.36 S38289130 age:24 gender:female monitor:13 inch,  2,560 x 1,600-pixel resolution at 227 pixels per inch
98.227.25.58 16/January/2019 02:58:55 Mozilla/5.0_(Macintosh;_Intel_Mac_OS_X_10_11_6)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/71.0.3578.98_Safari/537.36 S38289130 whattesting:I think the experiment was testing how one's ability to focus is affected by one's surroundings. When the background changed to one that was less common it drew my eye away initially from the task more than one that was regularly displayed and I felt I did worse on the tracking.
98.227.25.58 16/January/2019 02:59:20 Mozilla/5.0_(Macintosh;_Intel_Mac_OS_X_10_11_6)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/71.0.3578.98_Safari/537.36 S38289130 howwell:I think I did average.
98.227.25.58 16/January/2019 03:01:19 Mozilla/5.0_(Macintosh;_Intel_Mac_OS_X_10_11_6)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/71.0.3578.98_Safari/537.36 S38289130 strategies:I would not focus my eyes on anything in particular. I found it was most accurate for me to just stare into an area near the dots and my peripheral vision did the work. Blinking or allowing my eye to be caught by anything would cause me to lose track.
98.227.25.58 16/January/2019 03:02:13 Mozilla/5.0_(Macintosh;_Intel_Mac_OS_X_10_11_6)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/71.0.3578.98_Safari/537.36 S38289130 background:The images were of a forest with a black work area and then various office settings with the work area being depicted as a macbook air.
98.227.25.58 16/January/2019 03:03:24 Mozilla/5.0_(Macintosh;_Intel_Mac_OS_X_10_11_6)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/71.0.3578.98_Safari/537.36 S38289130 bkgdiff:The background would change from being lighters image of the floor and desks to being heavier, darker images of a forward view of a chalkboard and walls.
98.227.25.58 16/January/2019 03:06:05 Mozilla/5.0_(Macintosh;_Intel_Mac_OS_X_10_11_6)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/71.0.3578.98_Safari/537.36 S38289130 unstable:No, I didn't even think of the work area as being a physical object affected by gravity. It was just a superimposed, perfectly centered screen to me. Maybe if the work area changed positions with the background instead of also being stationary.
98.227.25.58 16/January/2019 03:06:15 Mozilla/5.0_(Macintosh;_Intel_Mac_OS_X_10_11_6)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/71.0.3578.98_Safari/537.36 S38289130 problems:I did not.
